"Cause Name","total_attention_score","weighted_nhits","weighted_attention_score_impact_factor","weighted_n","nhit","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","metric_id","metric_name","year","DALY","upper","lower"
"Acne vulgaris",72,1034.90909090909,617.874466403162,48.3790953008344,1096,2,"DALYs (Disability-Adjusted Life Years)",137,"North Africa and Middle East",3,"Both",22,"All ages",661,1,"Number",2021,431332.292263679,678630.046383416,268543.533591218
"Acne vulgaris",72,1034.90909090909,617.874466403162,48.3790953008344,1096,2,"DALYs (Disability-Adjusted Life Years)",94215,"Organization of Islamic Cooperation",3,"Both",22,"All ages",661,1,"Number",2021,1416112.66452761,2232017.02780012,881155.797494504
"Acne vulgaris",72,1034.90909090909,617.874466403162,48.3790953008344,1096,2,"DALYs (Disability-Adjusted Life Years)",103,"Latin America and Caribbean",3,"Both",22,"All ages",661,1,"Number",2021,314453.984964899,497497.57042059,193997.63335349
"Acne vulgaris",72,1034.90909090909,617.874466403162,48.3790953008344,1096,2,"DALYs (Disability-Adjusted Life Years)",31,"Central Europe, Eastern Europe, and Central Asia",3,"Both",22,"All ages",661,1,"Number",2021,118903.907219356,188702.804286522,74620.243375122
"Acne vulgaris",72,1034.90909090909,617.874466403162,48.3790953008344,1096,2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",661,1,"Number",2021,1112836.27327554,1766508.81718905,689611.250026896
"Acne vulgaris",72,1034.90909090909,617.874466403162,48.3790953008344,1096,2,"DALYs (Disability-Adjusted Life Years)",44586,"G20",3,"Both",22,"All ages",661,1,"Number",2021,2905737.14214361,4563396.3868538,1822516.19770816
"Acne vulgaris",72,1034.90909090909,617.874466403162,48.3790953008344,1096,2,"DALYs (Disability-Adjusted Life Years)",94216,"Association of Southeast Asian Nations",3,"Both",22,"All ages",661,1,"Number",2021,471830.409402555,748222.969718428,296875.277261823
"Acne vulgaris",72,1034.90909090909,617.874466403162,48.3790953008344,1096,2,"DALYs (Disability-Adjusted Life Years)",44534,"Commonwealth",3,"Both",22,"All ages",661,1,"Number",2021,1774043.80008536,2799415.91315539,1113669.20264292
"Acne vulgaris",72,1034.90909090909,617.874466403162,48.3790953008344,1096,2,"DALYs (Disability-Adjusted Life Years)",44587,"African Union",3,"Both",22,"All ages",661,1,"Number",2021,1293346.91034909,2047053.27601194,803264.32650991
"Acne vulgaris",72,1034.90909090909,617.874466403162,48.3790953008344,1096,2,"DALYs (Disability-Adjusted Life Years)",4,"Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",661,1,"Number",2021,1374233.78508182,2155025.28610996,861006.348081509
